filename	description	artistic_tags	width	height	aspect_ratio	file_size_kb	dominant_hue	dominant_saturation	color_temperature	saturation_level	contrast_level	format_type	complexity	creation_date	processing_order
125.jpg	A man in sat on tv id ed	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-fresh, style-subtle	512	768	0.67	64.0	27	36	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:36	30
126.jpg	 a man sitting on stools, surrounded by sexy. s, and seated in tensely ; he is observing e	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-food	512	768	0.67	65.4	214	19	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:37	31
127.jpg	 a black and white photograph of solitary objects in varying distances. the subject is an empty space with distorted shapes and colors	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-melancholic, mood-cozy	512	768	0.67	62.9	21	86	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:37	32
128.jpg	A black and white image of based on the s of of the world, e c n y i m o l p t r d u v w x h j k z f g b q. en ing th ng ch re - ly – eng chi hong han he cho ku chu cha chan gu ying ang qua ve	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	40.4	31	44	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:38	33
129.jpg	A black and white image of sand, with rocky mountains in the background	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-nature, mood-fresh, style-subtle	512	768	0.67	26.6	280	42	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:38	34
13.jpg	unknow. the subject is a woman in tan dress with blond hair and glasses	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, subject-portrait, style-subtle	512	773	0.66	53.7	0	0	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:38	35
130.jpg	 a black and white photograph of lighted objects in varying shapes and sizes. the subject is an abstract image of an object, which is  several different shapes, colors, and textures	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, style-artistic, mood-cozy	512	768	0.67	58.2	289	31	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:39	36
131.jpg	 a train on sand, surrounded by bushes, trees, and rocky terrain	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-nature, subject-transportation	512	768	0.67	40.2	30	55	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:39	37
132.jpg	A sattude el en irad n t o m ph c u r y f x d	color-warm, saturation-vibrant, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-bold	512	768	0.67	41.7	23	89	warm	vibrant	high-contrast	portrait	complex	2025-05-25 20:54:40	38
133.jpg	A man in sat in the kitchen with tv iphone pc e l r d m n f x y c	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-interior, subject-food	512	768	0.67	44.6	218	22	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:40	39
134.jpg	unknow. the subject is a train moving down crowded tracks	color-warm, saturation-moderate, contrast-high-contrast, format-landscape, complexity-complex, subject-transportation, mood-cozy	512	341	1.5	27.9	348	50	warm	moderate	high-contrast	landscape	complex	2025-05-25 20:54:41	40
135.jpg	 a black and white photograph of tangled wires and cables in varying shapes and sizes. the wire is in the shape of an upside-down triangle, with rounded corners	color-cool, saturation-muted, contrast-high-contrast, format-landscape, complexity-complex, mood-fresh, style-subtle	512	341	1.5	14.1	280	37	cool	muted	high-contrast	landscape	complex	2025-05-25 20:54:41	41
136.jpg	A black and white image of sand, with rocky mountains in the background	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-moderate, subject-nature, mood-cozy, style-subtle	512	768	0.67	19.6	330	50	warm	muted	high-contrast	portrait	moderate	2025-05-25 20:54:41	42
137.jpg	 a black and white photograph of solitary person standing in bare feet in front of an empty wooden table	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-melancholic, subject-portrait	512	768	0.67	66.9	7	69	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:42	43
138.jpg	 a black and white photo of solitary person sitting in midst of several other people. the person is sitting on stools in front of the table, with bare feet and tan shirt	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy	512	768	0.67	59.7	11	77	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:42	44
139.jpg	  a man sitting on stools, with slender legs and torso. he is wearing tan colored shirt and dark brown pants	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-melancholic, subject-portrait, lighting-low-light	512	768	0.67	62.2	26	75	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:43	45
14.jpg	 a black and white photograph of sand, with varying shades of blue and green. the subject is an abstract image of the beach, which is  various shapes and colors	color-neutral, saturation-muted, contrast-low-contrast, format-portrait, complexity-complex, style-artistic, style-subtle	512	773	0.66	56.8	0	0	neutral	muted	low-contrast	portrait	complex	2025-05-25 20:54:43	46
140.jpg	  a man sitting on stools, with slender legs and torso. he is wearing striped pants and white shirt, and is holding tan colored cup	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-nostalgic, subject-portrait, style-vintage	512	768	0.67	57.5	17	53	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:44	47
141.jpg	  a woman in thigh-length jeans and sleeveless top, with bare legs and an open shirt. she is standing in front of an empty wall, surrounded by framed images of trees and buildings	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-melancholic, subject-portrait, subject-nature	512	768	0.67	51.0	28	73	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:44	48
142.jpg	A person is sitting in solitary space, with hardly any other people around	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy	512	768	0.67	39.4	24	63	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:45	49
143.jpg	 a person sitting on stools, surrounded by bushes, and sat on the ground. with tiny crouching	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy	512	768	0.67	51.9	5	66	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:45	50
144.jpg	unknow	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	45.8	69	5	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:46	51
145.jpg	  a series of images of various shapes and colors, including spheres, triangles and circles	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-subtle	512	768	0.67	53.8	355	52	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:46	52
146.jpg	 a woman is sitting in sand with tees, surrounded by e ne, and encircled by the horizon. , with the background of th ir o m, the main graphical elements are based on the subject matter of this image	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy	512	768	0.67	53.3	41	20	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:47	53
147.jpg	unknow	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	50.5	24	73	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:47	54
148.jpg	A man in sat in the kitchen with tv ipad	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-interior, subject-food	512	768	0.67	46.9	19	83	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:48	55
149.jpg	The man is standing in front of a large wall with dozens of paintings on it	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-serene, subject-portrait, subject-art	512	768	0.67	48.8	21	68	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:48	56
15.jpg	A satyl e n t i m o r y p c u l	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, style-subtle	512	773	0.66	56.6	0	0	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:48	57
150.jpg	A person in sat in the ed, i m - based on he is able to if you are. ing & ment ; n o l y c u r t re d	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	65.8	25	19	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:49	58
151.jpg	unknow	color-warm, saturation-vibrant, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-bold	512	768	0.67	53.0	18	72	warm	vibrant	high-contrast	portrait	complex	2025-05-25 20:54:49	59
152.jpg	A man in sat in the kitchen with d, he is seated in front of tv i m e n y	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-interior, subject-food	512	768	0.67	46.0	26	61	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:50	60
153.jpg	unknow	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	47.4	24	68	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:50	61
154.jpg	 a man in t shirt standing in front of s ed, with earphones and hat. , he is standing behind o ne of his own i m p er y posses en l r u c k ing d	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-technology	512	768	0.67	46.5	15	40	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:51	62
155.jpg	A satyricane - figurative eps iraic, cy nical o m y	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	47.1	20	37	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:51	63
156.jpg	A black and white image of tangled wires, with strands of metal and plastic	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-fresh, style-subtle	512	768	0.67	60.2	329	3	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:52	64
157.jpg	A man in sat on he sits on his bicycle	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-transportation	512	768	0.67	62.4	217	32	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:52	65
158.jpg	Several people are standing in a room, with dozens of people sitting around them	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-serene, subject-portrait, subject-interior	512	768	0.67	58.8	149	3	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:52	66
159.jpg	unknow	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-subtle	512	768	0.67	63.5	259	4	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:53	67
16.jpg	 a black and white photograph of tangled wires and cables in varying shapes and sizes. the wire is in the shape of an upside-down triangle, with rounded corners	color-neutral, saturation-muted, contrast-balanced, format-portrait, complexity-complex, style-subtle	512	773	0.66	52.9	0	0	neutral	muted	balanced	portrait	complex	2025-05-25 20:54:53	68
160.jpg	A man on sat on his bicycle	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-transportation	512	768	0.67	59.6	80	34	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:53	69
161.jpg	unknow	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-subtle	512	768	0.67	63.4	24	13	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:54:54	70
162.jpg	 a sphere, surrounded by rays, and forming tetrahed shapes. , the horizon is reflected in the sky, with s e ned obliquely, as if viewed from en distance	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	42.9	198	6	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:54	71
163.jpg	A satyl ed t i m n o r p c u l	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	44.2	22	53	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:55	72
164.jpg	A solitary object or object that is not part of broader grouping	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-urban, mood-cozy	512	768	0.67	42.0	191	3	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:55	73
165.jpg	  a large group of people, surrounded by dozens of other objects. the background is characterized by the presence of several objects in the foreground	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-serene, subject-portrait	512	768	0.67	45.3	199	12	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:56	74
166.jpg	A man is standing in front of framed mirrors	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	41.8	18	23	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:56	75
167.jpg	 a portrait of solitary person in trance, with his hands in his pockets, and his head tilted to the side	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	40.0	25	39	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:57	76
168.jpg	unknow	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	51.3	30	31	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:57	77
169.jpg	 a man in tan hat, he is standing in front of. ed, with s en y o ne r i m p er ing, and posing in the direction of his body	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy	512	768	0.67	64.1	26	67	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:58	78
17.jpg	unknow. the subject is a woman with blond hair and brown eyes	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-fresh, style-subtle	512	768	0.67	29.0	206	32	cool	muted	high-contrast	portrait	complex	2025-05-25 20:54:58	79
170.jpg	 a person is standing in front of trough ed, he is walking towards o ne of his own. ing s i m p y c u l d	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy	512	768	0.67	63.4	32	65	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:54:59	80
171.jpg	The main visual elements and composition of this image are the following: a man in t shirt, hat, glasses, and shaven. , with th en he is posing, smiling, laughing, etc	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-euphoric, subject-portrait	512	768	0.67	37.3	36	3	warm	muted	high-contrast	portrait	complex	2025-05-25 20:54:59	81
172.jpg	A person is standing in front of netting, with bare legs and arms	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	65.5	28	15	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:00	82
173.jpg	S e ct ing i m ph n y t	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-subtle	512	775	0.66	53.5	0	1	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:00	83
174.jpg	  a man with his hands in his lap, with sand on the floor	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	37.0	22	33	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:01	84
175.jpg	The subject, setting, and visual style of the image are identified. the subjects are a woman, whose face is shown in the foreground, with distorted facial features and limbs	color-cool, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-food	512	768	0.67	24.5	0	0	cool	muted	high-contrast	portrait	complex	2025-05-25 20:55:01	85
176.jpg	A woman with sat in tv id ed	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, style-subtle	512	768	0.67	19.1	300	3	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:55:02	86
177.jpg	unknow	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-subtle	512	768	0.67	40.9	279	2	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:55:02	87
178.jpg	A woman with sat on tee en ed i m y ne	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	24.0	28	28	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:02	88
179.jpg	A person is sitting in sand, with bare feet and dangling limbs	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	27.3	30	36	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:03	89
18.jpg	  a person walking down stair steps, with sand in the background	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, style-subtle	512	768	0.67	43.6	280	2	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:55:03	90
180.jpg	A black and white image of ed s t y m n o l i c u r p h d	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-subtle	512	768	0.67	33.3	42	41	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:03	91
181.jpg	A black and white image of ed s t y m n o l i j u r p c h d	color-neutral, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, style-subtle	512	768	0.67	51.4	300	20	neutral	muted	high-contrast	portrait	complex	2025-05-25 20:55:04	92
182.jpg	A woman with sat on tee i l o ne	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	25.4	26	38	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:04	93
183.jpg	A woman sitting on sat on the floor with tangled ed i m y xy	color-warm, saturation-muted, contrast-balanced, format-portrait, complexity-complex, subject-portrait, mood-cozy, style-subtle	512	768	0.67	26.6	25	25	warm	muted	balanced	portrait	complex	2025-05-25 20:55:05	94
184.jpg	A black and white image of tangled wires, with strands of light shining through them	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-moderate, mood-cozy	512	768	0.67	23.3	330	66	warm	moderate	high-contrast	portrait	moderate	2025-05-25 20:55:05	95
185.jpg	S of the word e n y m i j o t u l r p c d f h k w x b q z g v. , if he is able to en ing th ; re - ly – ng ch ry — eng chi hong han gu quan	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	21.5	17	44	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:55:05	96
186.jpg	 a person sitting in sand, surrounded by bushes, trees, and rocky terrain	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, subject-portrait, subject-nature	512	768	0.67	25.1	21	44	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:55:06	97
187.jpg	The main visual elements and composition of the image are the shape of a circle, the form of an oblique triangle, or sphere, and the symmetry of its shape	color-warm, saturation-moderate, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy	512	768	0.67	22.8	0	33	warm	moderate	high-contrast	portrait	complex	2025-05-25 20:55:06	98
188.jpg	 a black and white photograph of sand, with rocky shores and trees. the main subject is the beach, which is shown in the background	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, subject-nature, mood-cozy, style-subtle	512	768	0.67	20.5	300	8	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:06	99
189.jpg	The main visual elements and composition of the image are the shape of a circle, the form of an oblique triangle, and the symmetry of two intersecting lines	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-subtle	512	768	0.67	23.4	274	11	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:07	100
19.jpg	  a black and white background with varying shades of gray and blue. the main subject is surrounded by bushes and trees, with some grass and twigs in the background	color-neutral, saturation-muted, contrast-high-contrast, format-standard, complexity-complex, subject-nature, style-subtle	512	342	1.5	16.1	280	7	neutral	muted	high-contrast	standard	complex	2025-05-25 20:55:07	101
190.jpg	unknow	color-warm, saturation-muted, contrast-high-contrast, format-portrait, complexity-complex, mood-cozy, style-subtle	512	768	0.67	23.5	199	25	warm	muted	high-contrast	portrait	complex	2025-05-25 20:55:07	102
191.jpg	 a black and white photograph of sand, with rocky shores and trees. the horizon is visible in the background	color-warm, saturation-vibrant, contrast-high-contrast, format-portrait, complexity-simple, subject-nature, mood-cozy, style-bold	512	768	0.67	15.2	270	100	warm	vibrant	high-contrast	portrait	simple	2025-05-25 20:55:08	103
